# Time-averaged data for fix myat1
# TimeStep c_Tmobile
31700 308.929
31800 359.705
31900 361.179
32000 263.373
32100 326.534
32200 312.669
32300 291.651
32400 255.408
32500 333.29
32600 296.709
32700 278.773
32800 371.729
32900 301.562
33000 362.478
33100 356.543
33200 322.308
33300 305.544
33400 340.631
33500 244.518
33600 318.729
33700 306.635
33800 269.183
33900 363.866
34000 318.861
34100 370.628
34200 340.475
34300 348.654
34400 336.271
34500 318.407
34600 326.998
34700 286.714
34800 323.119
34900 294.363
35000 290.637
35100 296.508
35200 320.224
35300 295.929
35400 335.143
35500 319.144
35600 328.841
35700 354.302
35800 310.537
35900 297.468
36000 312.788
36100 303.823
36200 245.681
36300 270.94
36400 317.098
36500 281.786
36600 284.708
36700 338.402
36800 303.741
36900 312.499
37000 334.278
37100 304.944
37200 307.053
37300 283.586
37400 345.636
37500 318.99
37600 284.867
37700 318.613
37800 331.674
37900 265.201
38000 332.495
38100 318.328
38200 311.865
38300 311.56
38400 288.163
38500 321.547
38600 342.763
38700 315.165
38800 361.26
38900 353.153
39000 329.768
39100 279.118
39200 326.082
39300 287.071
39400 284.835
39500 315.248
39600 329.533
39700 284.207
39800 361.905
39900 343.046
40000 348.307
40100 344.228
40200 341.983
40300 283.459
40400 322.588
40500 317.024
40600 305.477
40700 273.135
40800 298.891
40900 319.779
41000 275.645
41100 313.879
41200 371.571
41300 351.863
41400 337.938
41500 340.412
41600 315.575
41700 302.267
41800 291.069
41900 272.081
42000 326.254
42100 315.911
42200 298.828
42300 391.665
42400 383.085
42500 358.517
42600 340.092
42700 320.852
42800 309.842
42900 322.715
43000 315.598
43100 342.336
43200 275.684
43300 301.994
43400 297.122
43500 248.171
43600 296.704
43700 299.341
43800 310.171
43900 356.981
44000 324.677
44100 318.337
44200 364.714
44300 272.881
44400 289.111
44500 302.01
44600 271.803
44700 286.733
44800 305.341
44900 306.289
45000 298.671
45100 263.004
45200 393.287
45300 275.492
45400 323.839
45500 378.235
45600 298.909
45700 271.647
45800 345.82
45900 270.137
46000 271.702
46100 306.236
46200 309.034
46300 302.466
46400 336.147
46500 330.526
46600 367.458
46700 336.123
46800 362.394
46900 335.822
47000 318.13
47100 305.982
47200 313.193
47300 272.891
47400 333.126
47500 259.636
47600 291.729
47700 356.245
47800 307.851
47900 316.026
48000 404.67
48100 334.763
48200 338.253
48300 330.137
48400 304.609
48500 312.949
48600 326.333
48700 271.08
48800 312.677
48900 313.219
49000 344.413
49100 296.55
49200 336.24
49300 389.283
49400 318.464
49500 306.462
49600 356.786
49700 292.124
49800 284.673
49900 305.284
50000 300.835
50100 330.126
50200 314.153
50300 320.762
50400 333.093
50500 303.813
50600 331.733
50700 356.661
50800 310.128
50900 319.6
51000 338.08
51100 274.367
51200 312.755
51300 273.05
51400 293.488
51500 298.891
51600 267.278
51700 359.681
51800 299.473
51900 329.441
52000 350.345
52100 312.451
52200 323.726
52300 292.347
52400 296.62
52500 316.49
52600 260.648
52700 303.87
52800 282.395
52900 245.728
53000 324.127
53100 268.331
53200 325.248
53300 323.423
53400 336.559
53500 335.72
53600 310.102
53700 325.496
53800 292.328
53900 314.5
54000 254.842
54100 250.839
54200 321.731
54300 261.273
54400 321.642
54500 303.264
54600 323.841
54700 321.533
54800 355.364
54900 291.57
55000 322.981
55100 265.773
55200 252.632
55300 289.44
55400 235.038
55500 311.335
55600 321.24
55700 333.757
55800 313.118
55900 328.135
56000 326.581
56100 346.178
56200 265.785
56300 347.413
56400 278.419
56500 264.421
56600 337.843
56700 250.11
56800 299.589
56900 350.069
57000 305.678
57100 369.363
57200 324.533
57300 354.003
57400 296.133
57500 304.713
57600 312.923
57700 296.745
57800 260.825
57900 321.748
58000 333.868
58100 285.043
58200 410.302
58300 342.865
58400 343.543
58500 298.37
58600 341.921
58700 291.072
58800 317.66
58900 268.19
59000 271.514
59100 313.88
59200 301.443
59300 289.031
59400 324.561
59500 312.137
59600 297.935
59700 359.61
59800 257.481
59900 329.591
60000 321.209
60100 301.215
60200 305.373
60300 346.059
60400 296.282
60500 295.049
60600 317.453
60700 244.631
60800 335.87
60900 256.468
61000 325.432
61100 350.643
61200 334.746
61300 340.22
61400 317.4
61500 353.202
61600 272.236
61700 329.412
61800 280.617
61900 308.513
62000 318.276
62100 280.96
62200 323.171
62300 299.391
62400 315.722
62500 329.704
62600 401.333
62700 309.176
62800 371.711
62900 309.12
63000 350.178
63100 273.125
63200 289.137
63300 336.96
63400 277.643
63500 288.131
63600 326.909
63700 307.948
63800 364.41
63900 353.232
64000 327.568
64100 377.091
64200 315.364
64300 283.941
64400 314.805
64500 288.096
64600 318.828
64700 289.803
64800 314.332
64900 332.969
65000 335.563
65100 376.026
65200 345.715
65300 325.747
65400 316.376
65500 310.831
65600 249.62
65700 355.305
65800 263.405
65900 343.208
66000 336.197
66100 325.387
66200 314.042
66300 297.668
66400 293.461
66500 245.513
66600 306.82
66700 313.69
66800 349.019
66900 304.214
67000 336.735
67100 347.945
67200 328.857
67300 313.52
67400 293.058
