# Time-averaged data for fix myat4
# TimeStep c_Twater
69300 333.894
69400 328.933
69500 280.419
69600 335.663
69700 304.11
69800 302.852
69900 304.807
70000 310.235
70100 338.231
70200 341.006
70300 346.342
70400 346.117
70500 342.054
70600 325.421
70700 315.331
70800 322.663
70900 291.541
71000 311.72
71100 355.62
71200 338.785
71300 340.545
71400 367.468
71500 336.61
71600 350.985
71700 318.201
71800 324.264
71900 377.963
72000 313.193
72100 319.216
72200 300.008
72300 300.235
72400 309.349
72500 343.049
72600 287.509
72700 305.402
72800 307.159
72900 326.675
73000 329.363
73100 331.713
73200 334.072
73300 342.128
73400 340.978
73500 335.611
73600 334.628
73700 302.094
73800 299.883
73900 302.956
74000 302.26
74100 327.306
74200 339.288
74300 340.565
74400 331.527
74500 311.934
74600 312.183
74700 348.678
74800 327.627
74900 315.057
75000 322.453
75100 326.713
75200 304.31
75300 329.706
75400 292.847
75500 321.385
75600 356.259
75700 359.128
75800 361.263
75900 326.876
76000 331.387
76100 327.521
76200 306.605
76300 304.499
76400 314.288
76500 340.699
76600 297.401
76700 340.434
76800 339.982
76900 314.475
77000 356.207
77100 334.045
77200 348.965
77300 312.22
77400 331.68
77500 308.377
77600 314.355
77700 296.092
77800 343.208
77900 293.268
78000 343.325
78100 358.243
78200 329.231
78300 299.895
78400 346.128
78500 311.512
78600 310.134
78700 317.297
78800 280.274
78900 309.324
79000 306.53
79100 332.348
79200 366.849
79300 333.884
79400 340.296
79500 318.11
79600 335.951
79700 315.149
79800 312.238
79900 322.134
80000 280.085
80100 326.618
80200 307.701
80300 322.015
80400 295.644
80500 347.3
80600 372.15
80700 350.086
80800 375.589
80900 339.711
81000 308.733
81100 318.947
81200 280.507
81300 317.431
81400 332.385
81500 349.194
81600 365.441
81700 347.226
81800 343.456
81900 325.175
82000 332.57
82100 324.621
82200 313.972
82300 325.347
82400 333.1
82500 293.433
82600 357.825
82700 314.865
82800 344.089
82900 351.433
83000 319.693
83100 349.943
83200 317.348
83300 338.9
83400 306.324
83500 321.826
83600 324.29
83700 322.079
83800 311.858
83900 335.681
84000 334.928
84100 338.464
84200 327.79
84300 345.61
84400 290.324
84500 350.178
84600 336.544
84700 356.334
84800 358.102
84900 345.385
85000 347.664
85100 308.62
85200 300.329
85300 291.201
85400 358.61
85500 339.698
85600 352.063
85700 329.855
85800 323.904
85900 307.203
86000 339.545
86100 285.302
86200 333.028
86300 309.447
86400 323.807
86500 345.742
86600 310.241
86700 340.247
86800 333.429
86900 357.783
87000 322.588
87100 319.872
87200 289.201
87300 306.268
87400 317.285
87500 326.794
87600 310.18
87700 297.593
87800 326.458
87900 320.566
88000 338.337
88100 343.153
88200 344.583
88300 328.023
88400 330.544
88500 345.308
88600 328.623
88700 336.425
88800 295.394
88900 310.026
89000 321.912
89100 349.816
89200 348.852
89300 337.967
89400 362.749
89500 402.747
89600 346.953
89700 337.206
89800 329.639
89900 336.591
90000 292.004
90100 334.427
90200 306.721
90300 310.076
90400 294.033
90500 289.883
90600 311.781
90700 329.631
90800 369.731
90900 342.444
91000 329.958
91100 346.744
91200 334.256
91300 348.781
91400 316.868
91500 298.446
91600 317.712
91700 311.732
91800 335.81
91900 311.638
92000 318.595
92100 318.064
92200 322.948
92300 355.589
92400 340.732
92500 318.02
92600 331.089
92700 341.032
92800 307.105
92900 320.368
93000 291.289
93100 319.223
93200 284.311
93300 351.14
93400 331.003
93500 348.512
93600 330.679
93700 312.207
93800 336.158
93900 359.949
94000 301.03
94100 308.836
94200 320.943
94300 332.273
94400 326.233
94500 300.167
94600 382.622
94700 340.152
94800 273.384
94900 303.137
95000 300.448
95100 308.63
95200 310.142
95300 327.547
95400 334.049
95500 322.3
95600 285.86
95700 338.477
95800 376.938
95900 368.111
96000 333.07
96100 321.835
96200 318.647
96300 302.955
96400 299.942
96500 298.016
96600 343.243
96700 353.7
96800 370.337
96900 307.21
97000 316.757
97100 340.261
97200 307.912
97300 344.909
97400 308.765
97500 341.529
97600 335.421
97700 356.417
97800 361.205
97900 327.426
98000 350.022
98100 337.381
98200 339.86
98300 337.463
98400 317.572
98500 286.476
98600 318.242
98700 348.837
98800 336.596
98900 341.475
99000 325.418
99100 373.126
99200 322.565
99300 348.377
99400 327.201
99500 321.964
99600 335.354
99700 312.51
99800 322.241
99900 368.515
100000 371.111
100100 349.276
100200 340.952
100300 347.756
100400 328.657
100500 345.114
100600 336.661
100700 330.677
100800 326.958
100900 336.424
101000 330.793
101100 332.703
101200 270.284
101300 289.206
101400 316.173
101500 321.475
101600 356.706
101700 325.872
101800 367.467
101900 323.254
102000 364.671
102100 337.923
102200 340.57
102300 337.971
102400 329.718
102500 308.304
102600 339.886
102700 332.61
102800 307.634
102900 329.06
103000 285.09
103100 268.62
103200 303.92
103300 322.805
103400 328.592
103500 340.562
103600 315.785
103700 363.581
103800 353.651
103900 367.569
104000 353.116
104100 307.369
104200 305.125
104300 311.317
104400 313.914
104500 316.94
104600 285.073
104700 310.056
104800 320.363
104900 370.704
105000 355.588
105100 357.662
105200 337.054
105300 350.447
105400 325.653
105500 336.376
105600 314.329
105700 320.966
105800 310.906
105900 329.509
106000 313.701
106100 344.427
106200 282.763
106300 309.591
106400 304.835
106500 280.313
106600 298.711
106700 353.78
106800 327.324
106900 325.989
107000 357.943
107100 349.223
107200 327.051
107300 309.861
107400 313.734
107500 322.266
107600 308.097
107700 331.317
107800 288.145
107900 302.615
108000 351.604
108100 348.632
108200 364.295
108300 330.834
108400 313.219
108500 330.296
108600 294.718
108700 345.036
108800 307.562
108900 296.243
109000 299.39
109100 303.448
109200 324.329
109300 349.644
109400 356.89
109500 356.615
109600 393.574
109700 371.523
109800 330.86
109900 322.176
110000 319.539
110100 347.185
110200 367.685
110300 345.928
110400 343.187
110500 328.345
110600 296.861
110700 307.759
110800 315.588
110900 314.09
111000 313.727
111100 331.98
111200 347.281
111300 306.713
111400 337.785
111500 377.667
111600 310.041
111700 324.135
111800 308.685
111900 306.737
112000 305.877
112100 292.315
112200 321.745
112300 332.279
112400 362.402
112500 337.875
112600 346.646
112700 328.391
112800 320.529
112900 307.291
113000 302.134
113100 320.348
113200 327.856
113300 326.225
113400 331.032
113500 339.275
113600 319.181
113700 308.872
113800 345.94
113900 342.395
114000 310.151
114100 274.058
114200 296.129
114300 323.994
114400 318.988
114500 342.249
114600 335.577
114700 337.798
114800 334.124
114900 347.827
115000 324.511
115100 320.921
115200 301.18
115300 306.635
115400 325.82
115500 331.215
115600 344.54
115700 347.11
115800 338.04
115900 348.972
116000 304.919
116100 331.299
116200 329.601
116300 325.602
116400 359.546
116500 333.611
116600 350.317
116700 351.388
116800 329.83
116900 316.622
117000 345.392
117100 345.301
117200 291.682
117300 322.991
117400 330.406
117500 350.297
117600 351.408
117700 337.067
117800 352.937
117900 342.479
118000 351.004
118100 309.117
118200 318.373
118300 324.618
118400 336.702
118500 330.645
118600 321.842
118700 329.87
118800 339.253
118900 359.914
119000 346.455
119100 342.418
119200 310.735
119300 299.715
119400 306.809
119500 324.826
119600 311.295
119700 329.093
119800 362.093
119900 366.697
120000 359.751
120100 329.271
120200 306.711
120300 329.234
120400 318.278
120500 315.284
120600 313.414
120700 386.78
120800 372.547
120900 356.393
121000 335.999
121100 346.676
121200 311.622
121300 304.591
121400 343.881
121500 331.826
121600 358.133
121700 334.841
121800 328.713
121900 310.318
122000 293.078
122100 291.575
122200 283.746
122300 322.591
122400 312.926
122500 330.752
122600 345.663
122700 347.593
122800 333.046
122900 338.505
123000 361.843
123100 310.716
123200 316.068
123300 318.304
123400 319.909
123500 327.26
123600 297.157
123700 312.467
123800 328.844
123900 342.869
124000 324.968
124100 362.155
124200 350.433
124300 343.205
124400 347.771
124500 323.432
124600 304.907
124700 312.672
124800 296.548
124900 293.227
125000 346.715
125100 357.227
125200 303.715
125300 348.301
125400 353.707
125500 351.252
125600 367.994
125700 311.319
125800 319.446
125900 326.556
126000 281.269
126100 325.703
126200 344.959
126300 315.691
126400 344.179
126500 308.973
126600 346.213
126700 331.684
126800 305.809
126900 327.066
127000 367.365
127100 338.819
127200 351.31
127300 319.357
127400 326.174
127500 292.354
127600 314.327
127700 341.615
127800 313.136
127900 337.659
128000 359.132
128100 344.201
128200 331.96
128300 320.213
128400 330.597
128500 330.224
128600 324.788
128700 332.898
128800 339.658
128900 338.088
129000 368.829
129100 337.191
129200 337.656
129300 317.674
129400 330.916
129500 306.46
129600 304.342
129700 314.089
129800 292.952
129900 332.5
130000 341.773
130100 347.398
130200 351.054
130300 312.566
130400 326
130500 321.478
130600 308.187
130700 333.92
130800 309.554
130900 307.794
131000 317.647
131100 293.851
131200 303.612
131300 292.959
131400 307.914
131500 330.786
131600 348.61
131700 326.621
131800 362.584
131900 302.659
132000 323.268
132100 306.601
132200 364.047
132300 364.731
132400 345.079
132500 363.334
132600 315.964
132700 310.271
132800 295.227
132900 309.663
133000 307.682
133100 361.712
133200 354.436
133300 357.907
133400 336.486
133500 302.848
133600 333.815
133700 309.814
133800 328.218
133900 333.846
134000 345.415
134100 377.216
134200 338.72
