# Time-averaged data for fix myat2
# TimeStep c_Tsurface_inf
34900 350.575
35000 336.492
35100 339.581
35200 337.854
35300 267.081
35400 442.547
35500 289.462
35600 323.618
35700 355.465
35800 344.971
35900 281.135
36000 415.617
36100 353.308
36200 270.629
36300 391.049
36400 320.882
36500 357.953
36600 335.448
36700 461.597
36800 334.675
36900 362.872
37000 346.41
37100 308.798
37200 330.036
37300 387.382
37400 420.698
37500 320.609
37600 254.017
37700 357.558
37800 348.826
37900 310.118
38000 442.268
38100 318.249
38200 382.352
38300 322.655
38400 361.761
38500 448.861
38600 386.036
38700 363.385
38800 385.09
38900 380.956
39000 338.589
39100 387.148
39200 364.025
39300 330.195
39400 341.607
39500 356.818
39600 405.967
39700 423.412
39800 542.776
39900 368.331
40000 442.052
40100 362.871
40200 280.994
40300 320.294
40400 279.362
40500 397.075
40600 274.515
40700 233.757
40800 325.989
40900 346.812
41000 312.48
41100 379.531
41200 409.946
41300 457.111
41400 246.159
41500 350.421
41600 272.543
41700 339.439
41800 328.686
41900 259.457
42000 392.652
42100 284.425
42200 304.775
42300 323.876
42400 532.818
42500 387.315
42600 424.548
42700 371.173
42800 377.74
42900 374.196
43000 448.509
43100 379.083
43200 323.047
43300 403.899
43400 340.441
43500 243.595
43600 330.119
43700 353.187
43800 267.04
43900 452.276
44000 373.228
44100 391.238
44200 348.924
44300 264.87
44400 318.92
44500 272.515
44600 309.179
44700 317.401
44800 385.718
44900 372.123
45000 369.671
45100 260.45
45200 544.887
45300 282.886
45400 376.124
45500 485.333
45600 356.046
45700 377.911
45800 428.687
45900 232.037
46000 249.683
46100 299.503
46200 308.386
46300 310.317
46400 468.281
46500 406.653
46600 343.981
46700 315.761
46800 424.907
46900 238.173
47000 338.701
47100 319.856
47200 270.318
47300 258.478
47400 324.678
47500 282.173
47600 348.077
47700 424.908
47800 330.625
47900 264.525
48000 365.781
48100 335.978
48200 408.187
48300 321.387
48400 356.464
48500 252.658
48600 394.724
48700 231.22
48800 386.589
48900 257.666
49000 376.263
49100 282.297
49200 369.163
49300 385.144
49400 300.324
49500 290.471
49600 415.813
49700 294.721
49800 269.946
49900 349.776
50000 213.823
50100 341.849
50200 374.557
50300 304.273
50400 310.682
50500 355.678
