#step pe ke etotal temp press vol
65000 -1810.5699754659212886 8.8868782997482114183 -1801.6830971661731837 280.61992853275472726 3537.6438048222798898 2683.2073089264999908
66000 -1811.7331399874951785 9.8297734302591415201 -1801.9033665572360405 310.39361904738188969 3912.9867547919661774 2683.2073089264999908
67000 -1810.9125499569022395 8.0444784232089432408 -1802.8680715336931826 254.01956503310506719 3202.3054999749374474 2683.2073089264999908
68000 -1810.9855157716392569 7.8833153536961813046 -1803.1022004179430951 248.93053742145519891 3138.150516053967749 2683.2073089264999908
69000 -1811.6512359834632662 9.3510906290237354455 -1802.3001453544395645 295.27830758009821466 3722.4351134677694972 2683.2073089264999908
70000 -1811.3503968087147769 8.682602345122122145 -1802.6677944635925996 274.16953033277513896 3456.3266604907748842 2683.2073089264999908
71000 -1810.6958963313318236 9.3978836245085233259 -1801.2980127068233287 296.75588458811768078 3741.0622337008130671 2683.2073089264999908
72000 -1811.4591873248332377 8.7639478972597597561 -1802.6952394275733695 276.73816942710908506 3488.7082886467173921 2683.2073089264999908
73000 -1811.8101216219608887 8.623624344231517469 -1803.1864972777293588 272.30718881793802666 3432.8489946069785219 2683.2073089264999908
74000 -1812.4251675686409726 7.9602382467573598035 -1804.4649293218835737 251.35952272149830833 3168.7715943345824599 2683.2073089264999908
75000 -1811.9866957745878153 9.0470921305635929599 -1802.939603644024146 285.67898214381239086 3601.420920578094865 2683.2073089264999908
76000 -1811.8569474472433285 9.6359469676816971173 -1802.2210004795615532 304.273183249607996 3835.8292916851360133 2683.2073089264999908
77000 -1810.5671689915134266 9.3082857496789692675 -1801.2588832418343827 293.92666285430942708 3705.395562444045936 2683.2073089264999908
78000 -1810.353347107801028 8.9157379581529756507 -1801.4376091496480967 281.53122662932639741 3549.1321124508194771 2683.2073089264999908
79000 -1811.0498704420874674 8.848475351236016806 -1802.2013950908515199 279.40728306789617363 3522.3565522788389899 2683.2073089264999908
80000 -1811.1183765865930582 9.314968875612800403 -1801.8034077109803093 294.13769514919079029 3708.0559475938389369 2683.2073089264999908
81000 -1812.3890152014746491 7.7005184033523796927 -1804.6884967981222871 243.15837925620425608 3065.3836256890485856 2683.2073089264999908
82000 -1810.5059391541299192 9.3341147681866321051 -1801.1718243859431823 294.74226278526572287 3715.6774481891079631 2683.2073089264999908
83000 -1810.4989885310917543 9.1148476928810744369 -1801.3841408382106692 287.81849170092726808 3628.3927139559200441 2683.2073089264999908
84000 -1811.8060600734720538 8.387872556026433557 -1803.4181875174456309 264.86288186040331993 3339.002108795217282 2683.2073089264999908
85000 -1811.7402574404773077 8.7557805438960549793 -1802.9844768965813273 276.48026985428725766 3485.4570697085982829 2683.2073089264999908
86000 -1810.7947256932457094 8.7764689957250645591 -1802.0182566975206555 277.13354670560573823 3493.6926245317504254 2683.2073089264999908
87000 -1811.1107981423822366 8.2445479013834415127 -1802.866250240998852 260.33713581254329483 3281.9481513228347467 2683.2073089264999908
88000 -1810.2628475291467112 8.7538762032822798886 -1801.5089713258644224 276.42013671091399374 3484.6989993775587209 2683.2073089264999908
89000 -1809.9117123340374746 8.482637259283542619 -1801.4290750747538823 267.85525593805789413 3376.7255651187761032 2683.2073089264999908
90000 -1811.1126637550410123 8.6336985600507123451 -1802.4789651949902236 272.62530116603733177 3436.8592877582000256 2683.2073089264999908
91000 -1811.4400141830969915 9.0362815973846313256 -1802.4037325857123051 285.33761918757977583 3597.117517916615725 2683.2073089264999908
92000 -1811.2458969891822562 9.1118527824435293638 -1802.1340442067387357 287.7239217603250836 3627.2005150759505341 2683.2073089264999908
93000 -1811.5411239188774744 8.384791332111824147 -1803.1563325867657568 264.76558640911582643 3337.7755506805310688 2683.2073089264999908
