# Time-averaged data for fix myat5
# TimeStep c_Press[3]
18200 -5498.35
18300 -2248.8
18400 -5128.74
18500 -2388.52
18600 -1394.25
18700 -2912.86
18800 -1439.12
18900 -5283.58
19000 -1451.68
19100 957.833
19200 4662.96
19300 2566.01
19400 -10128.4
19500 -9158.09
19600 -8107.49
19700 -7331.48
19800 2462.32
19900 7759.03
20000 5910.86
20100 -2953.03
20200 2808.68
20300 -5444.13
20400 -10221.2
20500 -7647.91
20600 -8439.06
20700 -5027.73
20800 5631.26
20900 4266.99
21000 9893.53
21100 2741.57
21200 -11328.4
21300 -15353.5
21400 -5842.36
21500 -755.426
21600 6119.81
21700 1728.77
21800 1145.54
21900 1559.31
22000 -9410.11
22100 -9920.01
22200 -8758.85
22300 -3327.31
22400 -1922.07
22500 -2474.92
22600 -6499.63
22700 -6938.49
22800 -3141.66
22900 -2379.59
23000 -1038.96
23100 945.455
23200 -1098.51
23300 -2414.9
23400 -9699.78
23500 6.06163
23600 -8805.85
23700 -7367.43
23800 -2594.4
23900 -6678.95
24000 1963.05
24100 3723.84
24200 1932.42
24300 3615.25
24400 2378.39
24500 -7092.33
24600 -10722.9
24700 -10187.9
24800 -1582.03
24900 1462.9
25000 3867.52
25100 3405.91
25200 -355.26
25300 -10875.9
25400 -3548.33
25500 -14701
25600 -6035.79
25700 811.212
25800 7269.11
25900 4078.81
26000 -744.369
26100 -6331.88
26200 -9075.23
26300 -7524.61
26400 -3449.87
26500 -3700.52
26600 278.271
26700 2665.64
26800 -1641.47
26900 -10471
27000 -1323.8
27100 -3866.65
27200 -4422.98
27300 444.889
27400 -4951.92
27500 -3258.21
27600 -1504.36
27700 -7642.32
27800 -10012.7
27900 -9543.03
28000 -3465.45
28100 4149.45
28200 6291.94
28300 581.367
28400 -10194.3
28500 -12984.4
28600 -13568.9
28700 -11355.4
28800 -1586.11
28900 12353.3
29000 8373.03
29100 -2748.79
29200 109.911
29300 -6216.48
29400 -9867.19
29500 -5303.18
29600 -1164.28
29700 6449.14
29800 2673.3
29900 2677.17
30000 -2991.21
30100 -14669.9
30200 -7719.77
30300 -9640.04
30400 -354.674
30500 4190.96
30600 -3919.74
30700 4626.63
30800 -4149.14
30900 -6045.78
31000 1535.63
31100 -470.204
31200 1181.24
31300 6179.14
31400 -7353.6
31500 -5239.86
31600 -5669.29
31700 -8675.76
31800 -9336.8
31900 -6943.79
32000 -1685.71
32100 -3520.99
32200 2908.79
32300 -344.915
32400 -2026.45
32500 1362.84
32600 -8648.75
32700 -14246.8
32800 -5403.61
32900 2401.95
33000 2701.74
33100 5153.48
33200 -6345.08
33300 -5041.02
33400 -4491.96
33500 -1741.55
33600 4547.29
33700 3945.93
33800 3989.92
33900 916.301
34000 -3149.88
34100 -4289.67
34200 -7659.99
34300 -10069.1
34400 -4972
34500 -1512.55
34600 71.4229
34700 -1420.72
34800 5586.69
34900 -8497.29
35000 -4860.41
35100 89.8019
35200 -3142.53
35300 -1141.94
35400 -607.254
35500 -1340.86
35600 3683.95
35700 9625.21
35800 4864.84
35900 1030.79
36000 1493.36
36100 4174.39
36200 -3078.36
36300 -4322.76
36400 -4656.45
36500 1250.99
36600 -1737.3
36700 -1940.4
36800 4175.21
36900 -349.463
37000 594.141
37100 -2706.37
37200 -3752.54
37300 -3940.06
37400 -4243.24
37500 -4113.6
