# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
61700 195.047
61800 436.465
61900 294.708
62000 318.284
62100 364.523
62200 290.378
62300 352.761
62400 379.504
62500 265.829
62600 339.325
62700 337.171
62800 314.988
62900 348.882
63000 385.454
63100 281.413
63200 381.662
63300 348.526
63400 388.723
63500 225.418
63600 389.543
63700 192.486
63800 313.97
63900 299.593
64000 329.493
64100 363.274
64200 417.867
64300 441.833
64400 384.878
64500 374.766
64600 380.886
64700 261.686
64800 287.301
64900 239.244
65000 275.336
65100 284.793
65200 339.536
65300 432.125
65400 318.608
65500 413.113
65600 388.568
65700 334.344
65800 339.922
65900 318.46
66000 236.486
66100 265.219
66200 279.612
66300 237.554
66400 288.182
66500 322.558
66600 287.768
66700 295.016
66800 405.114
66900 233.277
67000 333.464
67100 260.078
67200 262.153
67300 294.012
67400 299.925
67500 393.906
67600 331.686
67700 415.895
67800 418.556
67900 290.018
68000 325.907
68100 353.577
68200 324.352
68300 319.09
68400 316.569
68500 298.082
68600 326.384
68700 349.319
68800 332.18
68900 330.293
69000 284.764
69100 377.691
69200 322.64
69300 408.175
69400 277.28
69500 327.835
69600 310.164
69700 304.305
69800 283.337
69900 327.556
70000 300.48
70100 299.07
70200 327.649
70300 316.295
70400 473.595
70500 278.302
70600 402.45
70700 447.629
70800 299.683
70900 483.585
71000 379.001
71100 416.944
71200 289.21
71300 404.768
71400 394.415
71500 289.703
71600 306.522
71700 428.323
71800 241.936
71900 356.312
72000 368.627
72100 271.814
72200 314.637
72300 314.609
72400 238.421
72500 264.254
72600 261.986
72700 313.384
72800 266.427
72900 224.601
73000 353.978
73100 238.516
73200 369.179
73300 438.132
73400 265.909
73500 468.945
73600 345.87
73700 302.582
73800 284.869
73900 319.845
74000 262.864
74100 393.798
74200 279.455
74300 379.813
74400 268.248
74500 444.969
74600 315.962
74700 413.755
74800 283.277
74900 366.744
75000 266.564
75100 298.02
75200 251.213
75300 299.106
75400 321.348
75500 355.682
75600 249.136
75700 521.161
75800 268.832
75900 345.928
76000 324.032
76100 354.993
76200 234.372
76300 429.382
76400 305.686
76500 381.613
76600 253.928
76700 291.299
76800 301.601
76900 327.746
77000 294.576
77100 399.766
77200 334.387
77300 453.049
77400 418.777
77500 353.665
77600 365.049
77700 299.05
77800 296.574
77900 327.555
78000 270.065
78100 366.754
78200 313.38
78300 295.782
78400 314.898
78500 389.164
78600 448.766
78700 293.671
78800 447.119
78900 436.983
79000 295.31
79100 377.256
79200 336.38
79300 298.321
79400 320.003
79500 263.841
79600 315.917
79700 324.339
79800 357.232
79900 325.065
80000 334.745
80100 225.58
80200 325.935
80300 175.644
80400 226.874
80500 294.683
80600 291.934
80700 299.31
80800 393.3
80900 233.998
81000 326.732
81100 364.35
81200 233.561
81300 434.898
81400 356.307
81500 235.747
81600 319.993
81700 297.345
81800 275.275
81900 226.948
82000 338.363
82100 321.836
82200 293.006
82300 282.828
82400 418.502
82500 240.651
82600 368.572
82700 333.102
82800 202.912
82900 416.405
83000 279.469
83100 309.693
83200 411.538
83300 317.866
83400 286.585
83500 450.338
83600 341.411
83700 341.147
83800 237.438
83900 399.88
84000 294.27
84100 261.501
84200 284.682
84300 345.012
84400 188.253
84500 357.505
84600 306.249
84700 304.927
84800 234.382
84900 326.101
85000 333.57
85100 237.075
85200 246.459
85300 329.92
85400 197.303
85500 272.881
85600 236.616
85700 292.839
85800 219.907
85900 327.903
86000 336.085
86100 372.048
86200 374.663
