#step pe ke etotal temp press vol
3600 -1816.5076861167540301 9.065804807361740103 -1807.4418813093923291 286.26987017542876401 -4567.6202464845064242 2683.2073089264999908
3800 -1815.4408875465560413 8.4543219764400401317 -1806.9865655701159994 266.96114752564119499 197.97243196830524425 2683.2073089264999908
4000 -1815.5537887738582867 9.4668822936035255111 -1806.086906480254811 298.93464758421305305 1649.4600089304451558 2683.2073089264999908
4200 -1815.3660979556852908 9.0621989253047559032 -1806.3038990303805349 286.15600765464267852 -5503.49199770020914 2683.2073089264999908
4400 -1815.6238479978578653 8.7331179048162308476 -1806.8907300930416113 275.76465432041368331 -8644.8689397832295072 2683.2073089264999908
4600 -1815.6534005326302577 8.4250271345065357309 -1807.2283733981237219 266.03610768910021989 1698.5612333129861327 2683.2073089264999908
4800 -1816.1675831323957482 9.1475281886354267158 -1807.0200549437602149 288.85043993670552709 -5090.2122330699294253 2683.2073089264999908
5000 -1815.4154190952267527 8.8536020825606271956 -1806.5618170126660971 279.56916927015907959 -9469.3582165672833071 2683.2073089264999908
5200 -1816.018842522857085 8.942520158943949582 -1807.0763223639130501 282.37692508703179328 -3569.6851358194094246 2683.2073089264999908
5400 -1816.5254448837372365 9.1886831689123749101 -1807.3367617148248883 290.14998599039813598 -3301.5119517127232029 2683.2073089264999908
5600 -1816.8508582592062339 9.5523889009447628951 -1807.2984693582614 301.63467983759232993 -4912.9478950725979303 2683.2073089264999908
5800 -1815.9922870937623429 8.5209571791029983245 -1807.4713299146592362 269.06527961548590611 -11494.072436870554156 2683.2073089264999908
6000 -1815.4189556761984932 8.4698649129854306494 -1806.9490907632130074 267.45194503579500633 -4612.6427204330539098 2683.2073089264999908
6200 -1815.9692640722100805 9.6159611630037975516 -1806.3533029092063771 303.64209380613709754 -3773.8748213914395819 2683.2073089264999908
6400 -1815.0534929349364575 8.1368844797616652897 -1806.9166084551748099 256.9374603964919288 -12269.807837134811052 2683.2073089264999908
6600 -1815.951135370051361 8.3907089017237872497 -1807.5604264683274778 264.95244482053834645 -4222.911108128279011 2683.2073089264999908
6800 -1816.4068331314852003 8.9862785887095668613 -1807.4205545427755624 283.75867996420629424 -6195.783990370941865 2683.2073089264999908
7000 -1816.5380836004201228 9.1733224149873127118 -1807.3647611854328261 289.66494123978168318 -7510.6887498501346272 2683.2073089264999908
7200 -1815.9572179458136816 8.7267041747050591027 -1807.23051377110869 275.56212870627575739 -13566.273486065627367 2683.2073089264999908
7400 -1816.5120453635227022 9.4964763748395650822 -1807.0155689886830714 299.86913646561083624 -9027.3080455333874852 2683.2073089264999908
7600 -1816.3043688562795523 8.8445030142370555382 -1807.4598658420425181 279.28184904177840053 -3981.0520830696123085 2683.2073089264999908
7800 -1816.4391961538167379 8.0224757013010901119 -1808.4167204525156194 253.32478762746836765 -1266.1989676282739765 2683.2073089264999908
8000 -1816.855657133330169 8.5260212280452538636 -1808.3296359052849311 269.22518650340879276 -8802.3207206423358002 2683.2073089264999908
8200 -1816.373634796924307 9.0219310158781969022 -1807.3517037810461261 284.88447253462595654 -6176.5917097849251149 2683.2073089264999908
8400 -1815.6465760700109513 8.9022672960266042708 -1806.7443087739843577 281.1058650888967918 2160.4254138059095567 2683.2073089264999908
8600 -1815.6457150685985198 9.045693264293909408 -1806.6000218043045606 285.63481030535740501 -1994.3334999926819364 2683.2073089264999908
8800 -1816.5790415770829895 9.6725112365445919949 -1806.9065303405384384 305.42776893977645614 -4138.2739364213775843 2683.2073089264999908
9000 -1816.1503799248746418 8.6060791680624948441 -1807.5443007568121629 271.75316681869611557 -2329.014218132037513 2683.2073089264999908
9200 -1816.8381513192844068 8.2322259573435374591 -1808.6059253619407627 259.94804721031044892 -3736.8910527694783923 2683.2073089264999908
9400 -1817.4515974267924321 9.1539822709305553872 -1808.2976151558618767 289.05423974709054846 -2167.710263810593915 2683.2073089264999908
9600 -1815.9871300958461688 8.7308722713868540666 -1807.256257824459226 275.69374421326386937 -2925.5087981025585577 2683.2073089264999908
