# Time-averaged data for fix myat1
# TimeStep c_Tmobile
73000 281.743
73100 276.956
73200 255.1
73300 360.405
73400 259.04
73500 354.886
73600 379.555
73700 264.958
73800 315.78
73900 301.398
74000 248.734
74100 333.377
74200 276.14
74300 347.47
74400 311.779
74500 400.672
74600 300.141
74700 334.013
74800 323.482
74900 307.846
75000 284.593
75100 330.244
75200 291.581
75300 284.489
75400 344.697
75500 282.084
75600 320.771
75700 351.735
75800 312.88
75900 335.261
76000 338.054
76100 311.608
76200 307.455
76300 309.415
76400 285.757
76500 304.478
76600 271.462
76700 290.888
76800 270.201
76900 343.252
77000 314.857
77100 311.234
77200 369.587
77300 319.195
77400 344.054
77500 276.204
77600 291.029
77700 280.242
77800 314.857
77900 271.842
78000 321.759
78100 328.259
78200 382.595
78300 313.644
78400 311.596
78500 346.053
78600 285.726
78700 295.402
78800 312.005
78900 310.578
79000 276.21
79100 336.178
79200 300.577
79300 296.3
79400 303.154
79500 324.572
79600 287.931
79700 332.435
79800 321.993
79900 303.744
80000 284.917
80100 296.928
80200 260.305
80300 262.327
80400 283.717
80500 278.242
80600 322.42
80700 289.665
80800 347.815
80900 317.153
81000 296.496
81100 357.028
81200 327.715
81300 314.678
81400 330.364
81500 255.039
81600 293.499
81700 267.821
81800 281.522
81900 269.138
82000 329.671
82100 298.791
82200 347.641
82300 301.255
82400 337.007
82500 277.37
82600 292.191
82700 285.155
82800 283.113
82900 336.447
83000 336.109
83100 320.269
83200 365.807
83300 323.804
83400 261.048
83500 353.686
83600 309.158
83700 301.793
83800 262.665
83900 309.677
84000 269.827
84100 280.28
84200 264.039
84300 346.351
84400 287.263
84500 338.957
84600 315.678
84700 327.721
84800 279.019
84900 324.304
85000 322.531
85100 315.03
85200 289.312
85300 278.23
85400 295.528
85500 265.902
85600 287.957
85700 303.901
85800 295.392
85900 308.634
86000 313.642
86100 348.653
86200 314.912
86300 290.517
86400 304.956
86500 322.799
86600 220.273
86700 288.263
86800 263.757
86900 321.896
87000 277.456
87100 341.552
87200 342.854
87300 310.756
87400 314.388
87500 317.81
87600 312.684
87700 287.044
87800 268.827
87900 311.426
88000 302.731
88100 301.715
88200 351.769
88300 339.585
88400 350.313
88500 333.257
88600 305.584
88700 290.268
88800 329.12
88900 270.554
89000 302.901
89100 313.73
89200 312.042
89300 351.517
89400 360.228
89500 362.477
89600 340.13
89700 303.538
89800 356.914
89900 333.461
90000 304.851
90100 315.797
90200 315.01
90300 266.619
90400 305.149
90500 274.455
