# Time-averaged data for fix myat2
# TimeStep c_Tsurface_inf
35000 301.206
35100 256.314
35200 261.149
35300 288.541
35400 261.447
35500 427.47
35600 239.885
35700 286.11
35800 270.816
35900 204.04
36000 280.583
36100 228.645
36200 285.367
36300 286.508
36400 381.749
36500 367.14
36600 305.464
36700 464.455
36800 342.756
36900 336.823
37000 487.763
37100 268.778
37200 292.534
37300 331.934
37400 286.731
37500 371.289
37600 330.681
37700 256.926
37800 251.94
37900 348.443
38000 246.389
38100 293.454
38200 396.792
38300 298.037
38400 451.835
38500 251.732
38600 475.991
38700 289.982
38800 308.38
38900 347.989
39000 318.368
39100 281.387
39200 300.728
39300 306.678
39400 298.566
39500 331.598
39600 358.432
39700 355.132
39800 326.144
39900 307.937
40000 337.214
40100 276.404
40200 301.22
40300 320.918
40400 314.489
40500 308.457
40600 439.13
40700 275.429
40800 415.782
40900 349.755
41000 429.373
41100 315.444
41200 434.781
41300 583.854
41400 395.381
41500 338.312
41600 482.653
41700 348.617
41800 450.316
41900 340.172
42000 309.528
42100 418.719
42200 402.982
42300 386.802
42400 435.697
42500 312.977
42600 323.525
42700 276.241
42800 320.695
42900 529.351
43000 351.317
43100 346.623
43200 315.048
43300 479.38
43400 292.731
43500 301.767
43600 391.482
43700 348.904
43800 262.804
43900 401.173
44000 421.232
44100 307.056
44200 245.927
44300 317.812
44400 314.324
44500 265.286
44600 448.832
44700 256.32
44800 326.291
44900 254.977
45000 282.353
45100 328.232
45200 272.116
45300 398.268
45400 294.096
45500 373.32
45600 397.834
45700 323.886
45800 293.263
45900 306.732
46000 277.573
46100 346.791
46200 288.821
46300 254.05
46400 268.991
46500 268.524
46600 292.285
46700 320.093
46800 378.11
46900 323.922
47000 407.562
47100 386.101
47200 290.676
47300 382.687
47400 311.233
47500 436.925
47600 312.659
47700 334.512
47800 395.493
47900 243.781
48000 406.054
48100 388.822
48200 279.866
48300 330.96
48400 425.139
48500 258.561
48600 273.143
48700 205.451
48800 320.858
48900 270.628
49000 274.194
49100 333.228
49200 336.207
49300 309.26
49400 372.419
49500 375.585
49600 462.575
49700 316.013
49800 330.511
49900 314.906
50000 322.196
50100 317.393
50200 282.422
50300 195.929
50400 227.538
50500 340.651
50600 273.884
50700 328.58
50800 409.864
50900 395.477
51000 230.383
51100 338.059
51200 309.283
51300 311.986
51400 347.199
51500 389.055
51600 406.734
51700 452.523
51800 427.107
51900 296.815
52000 446.559
52100 352.161
52200 296.912
52300 319.744
52400 255.71
52500 293.61
52600 258.154
52700 322.802
52800 312.046
52900 250.529
53000 323.443
53100 286.373
53200 339.242
53300 389.14
53400 365.442
53500 329.125
53600 352.99
53700 336.019
53800 354.035
53900 386.769
54000 467.914
54100 382.379
54200 427.506
54300 339.524
54400 424.325
54500 321.825
54600 321.233
54700 241.01
54800 346.452
54900 235.093
55000 419.838
55100 279.581
55200 267.015
55300 438.263
55400 365.364
55500 379.286
55600 386.93
55700 461.962
55800 264.274
55900 355.54
56000 292.865
56100 287.268
56200 284.407
56300 323.481
56400 316.09
56500 373.426
56600 374.557
56700 293.03
56800 310.994
56900 285.472
57000 257.059
57100 308.505
57200 334.183
57300 361.333
57400 322.267
57500 486.93
57600 393.009
57700 407.809
57800 393.706
57900 355.339
58000 325.455
58100 392.768
58200 370.9
58300 257.144
58400 387.99
58500 295.799
58600 231.316
58700 327.824
58800 261.245
58900 396.723
59000 331.264
59100 426.176
