# Time-averaged data for fix myat4
# TimeStep c_Twater
50700 297.584
50800 317.583
50900 319.695
51000 310.732
51100 325.156
51200 347.255
51300 346.493
51400 330.643
51500 338.512
51600 356.424
51700 374.863
51800 349.191
51900 311.663
52000 308.401
52100 305.105
52200 283.911
52300 311.508
52400 359.258
52500 321.584
52600 375.537
52700 338.699
52800 343.774
52900 322.055
53000 315.903
53100 311.768
53200 343.51
53300 333.212
53400 336.128
53500 322.433
53600 325.616
53700 349.879
53800 353.402
53900 336.955
54000 313.26
54100 310.08
54200 292.966
54300 335.541
54400 331.06
54500 325.913
54600 341.568
54700 357.997
54800 346.327
54900 358.852
55000 326.95
55100 314.504
55200 322.067
55300 327.845
55400 313.277
55500 301.502
55600 322.92
55700 315.902
55800 336.875
55900 326.311
56000 326.742
56100 322.775
56200 320.283
56300 317.705
56400 328.784
56500 332.05
56600 305.939
56700 313.883
56800 342.024
56900 341.827
57000 329.655
57100 332
57200 324.959
57300 324.574
57400 304.093
57500 338.842
57600 319.409
57700 316.331
57800 336.309
57900 325.56
58000 356.319
58100 344.506
58200 331.768
58300 335.133
58400 351.598
58500 346.713
58600 332.228
58700 345.556
58800 307.369
58900 329.001
59000 333.708
59100 305.792
59200 331.808
59300 355.331
59400 382.477
59500 330.802
59600 330.119
59700 322.867
59800 327.037
59900 320.876
60000 335.473
60100 283.135
60200 321.193
60300 322.611
60400 319.007
60500 343.127
60600 347.975
60700 320.766
60800 331.191
60900 313.138
61000 281.674
61100 308.322
61200 338.455
61300 348.343
61400 340.794
61500 351.181
61600 385.211
61700 348.997
61800 303.074
61900 333.643
62000 311.897
62100 326.412
62200 324.061
62300 302.95
62400 346.168
62500 375.563
62600 366.928
62700 344.847
62800 329.347
62900 325.612
63000 310.093
63100 332.539
63200 319.44
63300 365.121
63400 352.655
63500 341.742
63600 350.311
63700 319.858
63800 313.7
63900 301.939
64000 296.342
64100 285.439
64200 334.752
64300 344.463
64400 330.915
64500 297.042
64600 334.747
64700 301.443
64800 327.702
64900 314.88
65000 267.079
65100 299.211
65200 308.061
65300 299.287
65400 333.448
65500 317.36
65600 354.804
65700 361.594
65800 342.959
65900 333.309
66000 314.125
66100 337.802
66200 337.37
66300 354.625
66400 351.675
66500 366.13
66600 365.285
66700 348.432
66800 328.327
66900 324.133
67000 322.313
67100 322.338
67200 323.024
67300 336.215
67400 363.261
67500 359.089
67600 342.789
67700 360.978
67800 345.524
67900 318.164
68000 310.109
68100 286.237
68200 319.546
68300 330.854
68400 297.965
68500 338.3
68600 350.902
68700 355.1
68800 374.289
68900 346.84
69000 301.308
69100 318.711
69200 318.463
69300 308.746
69400 316.977
69500 340.65
69600 309.503
69700 293.354
69800 340.234
69900 351.182
70000 344.526
70100 324.177
70200 343.479
70300 333.087
70400 337.699
70500 325.816
70600 300.841
70700 306.444
70800 333.784
70900 336.201
71000 330.638
71100 339.514
71200 369.377
71300 331.858
71400 321.856
71500 328.74
71600 321.562
71700 316.335
71800 305.993
71900 332.133
72000 326.687
72100 340.962
72200 334.657
72300 315.559
72400 349.559
72500 311.543
72600 328.611
72700 312.008
72800 276.469
72900 299.973
73000 330.913
73100 319.876
73200 356.075
73300 352.747
73400 345.07
73500 327.568
73600 330.217
73700 319.041
73800 345.831
73900 354.745
74000 330.728
74100 345.565
74200 352.9
74300 330.694
74400 325.6
74500 337.515
74600 281.135
74700 336.11
74800 312.381
74900 292.131
75000 327.565
75100 341.717
75200 340.617
75300 326.586
75400 350.816
75500 316.589
75600 346.093
75700 322.147
75800 313.978
75900 311.558
76000 281.599
76100 317.82
76200 333.074
76300 374.545
76400 381.292
76500 350.231
76600 330.724
76700 320.78
76800 309.393
76900 355.163
77000 317.138
77100 296.447
77200 334.52
77300 311.894
77400 356.45
77500 295.541
77600 305.052
77700 338.883
77800 376.016
77900 357.896
78000 345.897
78100 322.951
78200 277.316
78300 276.779
78400 306.85
78500 345.653
78600 327.256
78700 329.817
78800 344.72
78900 312.163
79000 316.124
79100 341.472
79200 319.211
79300 342.048
79400 321.491
79500 383.219
79600 365.2
79700 360.252
79800 346.841
79900 325.865
80000 317.543
80100 302.447
80200 312.811
80300 312.831
80400 326.752
80500 310.384
80600 318.363
80700 338.879
80800 364.492
80900 336.089
81000 307.891
81100 335.34
81200 333.315
81300 316.866
81400 302.851
81500 361.41
81600 367.662
81700 356.651
81800 324.645
81900 316.365
82000 347.584
82100 320.535
82200 307.026
82300 326.787
82400 331.299
82500 348.398
82600 340.522
82700 309.153
82800 325.16
82900 311.41
83000 362.01
83100 350.666
83200 365.352
83300 365.268
83400 321.539
83500 314.594
83600 339.265
83700 334.747
83800 312.256
83900 308.632
84000 361.556
84100 321.183
84200 354.218
84300 315.806
84400 329.844
84500 312.092
84600 298.783
84700 323.025
84800 303.768
84900 303.158
85000 312.116
85100 315.67
85200 316.394
85300 307.044
85400 349.236
85500 330.689
85600 354.766
85700 312.642
85800 325.093
85900 309.185
86000 296.941
86100 320.194
86200 335.677
