# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
33000 309.082
33100 340.562
33200 225.869
33300 336.813
33400 297.106
33500 371.197
33600 280.948
33700 401.705
33800 289.902
33900 567.753
34000 288.696
34100 341.47
34200 448.204
34300 261.672
34400 276.333
34500 313.575
34600 316.169
34700 208.753
34800 341.577
34900 277.667
35000 294.208
35100 321.595
35200 311.195
35300 350.389
35400 363.171
35500 272.736
35600 336.524
35700 339.297
35800 354.364
35900 387.511
36000 402.576
36100 390.761
36200 383.563
36300 291.532
36400 403.486
36500 384.936
36600 304.081
36700 313.004
36800 321.865
36900 298.01
37000 266.298
37100 390.042
37200 280.906
37300 267.726
37400 285.787
37500 420.546
37600 225.613
37700 298.203
37800 250.458
37900 254.157
38000 327.75
38100 283.645
38200 284.878
38300 360.377
38400 280.621
38500 278.767
38600 347.591
38700 285.871
38800 364.459
38900 315.345
39000 328.757
39100 313.997
39200 325.887
39300 236.917
39400 305.304
39500 311.483
39600 370.646
39700 367.903
39800 366.666
39900 319.271
40000 253.814
40100 363.04
40200 315.21
40300 201.915
40400 330.864
40500 255.681
40600 215.91
40700 283.185
40800 316.498
40900 264.096
41000 353.151
41100 320.779
41200 439.278
41300 273.206
41400 360.315
41500 387.698
41600 335.932
41700 310.054
41800 381.441
41900 290.271
42000 292.743
42100 226.33
42200 299.293
42300 296.2
42400 342.582
42500 273.334
42600 367.184
42700 249.095
42800 342.34
42900 220.895
43000 159.063
43100 268.17
43200 257.349
43300 281.351
43400 320.253
43500 241.319
43600 318.659
43700 247.965
43800 229.947
43900 358.941
44000 276.55
44100 290.366
44200 353.823
44300 376.109
44400 271.929
44500 320.125
44600 345.919
44700 267.321
44800 243.155
44900 281.366
45000 322.026
45100 258.374
45200 318.477
45300 267.595
45400 323.242
45500 229.274
45600 276.259
45700 299.98
45800 297.711
45900 352.061
46000 278.16
46100 283.732
46200 333.981
46300 346.613
46400 228.692
46500 390.313
46600 251.703
46700 348.842
46800 273.308
46900 399.137
47000 371.92
47100 208.314
47200 373.6
47300 330.126
47400 198.08
47500 370.676
47600 244.281
47700 267.412
47800 267.053
47900 352.159
48000 278.577
48100 325.83
48200 245.856
48300 276.166
48400 264.948
48500 203.825
48600 275.275
48700 208.824
48800 313.377
48900 333.815
49000 308.586
49100 382.262
49200 377.387
49300 277.901
49400 397.209
49500 216.148
49600 327.369
