# Time-averaged data for fix myat5
# TimeStep c_Press[3]
31200 3845.73
31300 3468.72
31400 3156.97
31500 3500.75
31600 3648.75
31700 3717.98
31800 3642.06
31900 3937.67
32000 3275.27
32100 3610.15
32200 4371.15
32300 3447.85
32400 3943.85
32500 3519.48
32600 3255.03
32700 3334.83
32800 2685.64
32900 3720.68
33000 4062.4
33100 3925.67
33200 3790.42
33300 3530.05
33400 3567.98
33500 3512.15
33600 3230
33700 3364.26
33800 3558.42
33900 3047.49
34000 3646.84
34100 3390.38
34200 3685.06
34300 4538.82
34400 3461.08
34500 4219.24
34600 3634.97
34700 3656.45
34800 3731.64
34900 3808.92
35000 3708.1
35100 3695.58
35200 3587.87
35300 3462.48
35400 3389.42
35500 3635.61
35600 3208.47
35700 3916.64
35800 3007.96
35900 3107.63
36000 3633.07
36100 2956.71
36200 3409.88
36300 3726.39
36400 3771.69
36500 3338.28
36600 3290.03
36700 3506.98
36800 3011.11
36900 3279.68
37000 3779.6
37100 3875.1
37200 3484.82
37300 3701.96
37400 4266.65
37500 3206.5
37600 3538.69
37700 3576.22
37800 3590.05
37900 3566.49
38000 3661
38100 3888.99
38200 3576.88
38300 3645.52
38400 2885.37
38500 2837.05
38600 3470.29
38700 3594.5
38800 3400.07
38900 3609.93
39000 4016.54
39100 3916.18
39200 4096.03
39300 3383.19
39400 3760.48
39500 3382.6
39600 3732.23
39700 3931.83
39800 3029.05
39900 3239.58
40000 3112.68
40100 3016.17
40200 3446.01
40300 3575.36
40400 3724.85
40500 3582.85
40600 3600.51
40700 3335.86
40800 3135.7
40900 3271.52
41000 3203.1
41100 3629.92
41200 4275.84
41300 3938.99
41400 3759.47
41500 3629.42
41600 3554.72
41700 4058.1
41800 3436.46
41900 4553.04
42000 4046.33
42100 4005.27
42200 3666.17
42300 3551.46
42400 3709.01
42500 3556
42600 3117.23
42700 3289.98
42800 3345.36
42900 3266.26
43000 4284.21
43100 3510.93
43200 3811.01
43300 3379.54
43400 3593.29
43500 3796.12
43600 3629.14
43700 3559.74
43800 3219.86
43900 3576.44
44000 3168.5
44100 3649.13
44200 3598.34
44300 2888.95
44400 3456.27
44500 3684.62
44600 3774.87
44700 3390.68
44800 3300.12
44900 3686.76
45000 3052.44
45100 3312.63
45200 3359.66
45300 3054.42
45400 3637.63
45500 3102.18
45600 3920.63
45700 3754.12
45800 4126.31
45900 3391.13
46000 3700.16
46100 3144.86
46200 3246.81
46300 3338.38
46400 3169.81
46500 3454.3
46600 3156.33
46700 2631.51
46800 3763.79
46900 3599.67
47000 3578.48
47100 3984.12
47200 3056.83
47300 3811.41
47400 3700.04
47500 3569.86
47600 4028.29
47700 3459.77
47800 3625.46
47900 3590.01
48000 2757.68
48100 3361.77
48200 3286.85
48300 3041.07
48400 3565.61
48500 3039.26
48600 2779.63
48700 3388.65
48800 3315.61
48900 2799.43
49000 3364.2
49100 2924.87
49200 3201.06
